,Best,Dataset,Model,Parameter,Sig Datasets
0,False,Dong,Target Independent,1.0,4
1,False,Dong,Target Independent,3.0517578125e-05,5
2,False,Dong,Target Independent,0.0001220703125,5
3,False,Dong,Target Independent,0.00048828125,5
4,False,Dong,Target Independent,0.001953125,2
5,True,Dong,Target Independent,0.0078125,0
6,False,Dong,Target Independent,0.03125,0
7,False,Dong,Target Independent,0.125,3
8,False,Dong,Target Independent,0.5,4
9,False,Dong,Target Independent,2.0,5
10,False,Dong,Target Dependent Minus,1.0,5
11,False,Dong,Target Dependent Minus,3.0517578125e-05,5
12,False,Dong,Target Dependent Minus,0.0001220703125,5
13,False,Dong,Target Dependent Minus,0.00048828125,5
14,False,Dong,Target Dependent Minus,0.001953125,0
15,True,Dong,Target Dependent Minus,0.0078125,0
16,False,Dong,Target Dependent Minus,0.03125,0
17,False,Dong,Target Dependent Minus,0.125,4
18,False,Dong,Target Dependent Minus,0.5,5
19,False,Dong,Target Dependent Minus,2.0,5
20,False,Dong,Target Dependent,1.0,5
21,False,Dong,Target Dependent,3.0517578125e-05,5
22,False,Dong,Target Dependent,0.0001220703125,5
23,False,Dong,Target Dependent,0.00048828125,5
24,False,Dong,Target Dependent,0.001953125,0
25,True,Dong,Target Dependent,0.0078125,0
26,False,Dong,Target Dependent,0.03125,4
27,False,Dong,Target Dependent,0.125,5
28,False,Dong,Target Dependent,0.5,5
29,False,Dong,Target Dependent,2.0,5
30,False,Dong,Target Dependent Plus,1.0,5
31,False,Dong,Target Dependent Plus,3.0517578125e-05,5
32,False,Dong,Target Dependent Plus,0.0001220703125,5
33,False,Dong,Target Dependent Plus,0.00048828125,1
34,True,Dong,Target Dependent Plus,0.001953125,0
35,False,Dong,Target Dependent Plus,0.0078125,1
36,False,Dong,Target Dependent Plus,0.03125,5
37,False,Dong,Target Dependent Plus,0.125,5
38,False,Dong,Target Dependent Plus,0.5,5
39,False,Dong,Target Dependent Plus,2.0,5
40,False,Dong,TDParse Minus,1.0,5
41,False,Dong,TDParse Minus,3.0517578125e-05,5
42,False,Dong,TDParse Minus,0.0001220703125,5
43,False,Dong,TDParse Minus,0.00048828125,5
44,False,Dong,TDParse Minus,0.001953125,2
45,True,Dong,TDParse Minus,0.0078125,0
46,False,Dong,TDParse Minus,0.03125,0
47,False,Dong,TDParse Minus,0.125,3
48,False,Dong,TDParse Minus,0.5,5
49,False,Dong,TDParse Minus,2.0,5
50,False,Dong,TDParse,1.0,5
51,False,Dong,TDParse,3.0517578125e-05,5
52,False,Dong,TDParse,0.0001220703125,5
53,False,Dong,TDParse,0.00048828125,5
54,False,Dong,TDParse,0.001953125,0
55,True,Dong,TDParse,0.0078125,0
56,False,Dong,TDParse,0.03125,3
57,False,Dong,TDParse,0.125,5
58,False,Dong,TDParse,0.5,5
59,False,Dong,TDParse,2.0,5
60,False,Dong,TDParsePlus,1.0,5
61,False,Dong,TDParsePlus,3.0517578125e-05,5
62,False,Dong,TDParsePlus,0.0001220703125,5
63,False,Dong,TDParsePlus,0.00048828125,0
64,True,Dong,TDParsePlus,0.001953125,0
65,False,Dong,TDParsePlus,0.0078125,1
66,False,Dong,TDParsePlus,0.03125,5
67,False,Dong,TDParsePlus,0.125,5
68,False,Dong,TDParsePlus,0.5,5
69,False,Dong,TDParsePlus,2.0,5
70,False,Laptop,Target Independent,1.0,2
71,False,Laptop,Target Independent,3.0517578125e-05,5
72,False,Laptop,Target Independent,0.0001220703125,5
73,False,Laptop,Target Independent,0.00048828125,3
74,False,Laptop,Target Independent,0.001953125,1
75,False,Laptop,Target Independent,0.0078125,0
76,True,Laptop,Target Independent,0.03125,0
77,False,Laptop,Target Independent,0.125,0
78,False,Laptop,Target Independent,0.5,2
79,False,Laptop,Target Independent,2.0,2
80,False,Laptop,Target Dependent Minus,1.0,3
81,False,Laptop,Target Dependent Minus,3.0517578125e-05,5
82,False,Laptop,Target Dependent Minus,0.0001220703125,5
83,False,Laptop,Target Dependent Minus,0.00048828125,4
84,False,Laptop,Target Dependent Minus,0.001953125,0
85,True,Laptop,Target Dependent Minus,0.0078125,0
86,False,Laptop,Target Dependent Minus,0.03125,0
87,False,Laptop,Target Dependent Minus,0.125,1
88,False,Laptop,Target Dependent Minus,0.5,3
89,False,Laptop,Target Dependent Minus,2.0,3
90,False,Laptop,Target Dependent,1.0,1
91,False,Laptop,Target Dependent,3.0517578125e-05,5
92,False,Laptop,Target Dependent,0.0001220703125,5
93,False,Laptop,Target Dependent,0.00048828125,1
94,False,Laptop,Target Dependent,0.001953125,0
95,True,Laptop,Target Dependent,0.0078125,0
96,False,Laptop,Target Dependent,0.03125,0
97,False,Laptop,Target Dependent,0.125,3
98,False,Laptop,Target Dependent,0.5,3
99,False,Laptop,Target Dependent,2.0,2
100,False,Laptop,Target Dependent Plus,1.0,2
101,False,Laptop,Target Dependent Plus,3.0517578125e-05,5
102,False,Laptop,Target Dependent Plus,0.0001220703125,5
103,False,Laptop,Target Dependent Plus,0.00048828125,0
104,False,Laptop,Target Dependent Plus,0.001953125,0
105,True,Laptop,Target Dependent Plus,0.0078125,0
106,False,Laptop,Target Dependent Plus,0.03125,0
107,False,Laptop,Target Dependent Plus,0.125,2
108,False,Laptop,Target Dependent Plus,0.5,2
109,False,Laptop,Target Dependent Plus,2.0,2
110,False,Laptop,TDParse Minus,1.0,1
111,False,Laptop,TDParse Minus,3.0517578125e-05,5
112,False,Laptop,TDParse Minus,0.0001220703125,5
113,False,Laptop,TDParse Minus,0.00048828125,4
114,False,Laptop,TDParse Minus,0.001953125,1
115,False,Laptop,TDParse Minus,0.0078125,0
116,False,Laptop,TDParse Minus,0.03125,0
117,True,Laptop,TDParse Minus,0.125,0
118,False,Laptop,TDParse Minus,0.5,1
119,False,Laptop,TDParse Minus,2.0,3
120,False,Laptop,TDParse,1.0,2
121,False,Laptop,TDParse,3.0517578125e-05,5
122,False,Laptop,TDParse,0.0001220703125,5
123,False,Laptop,TDParse,0.00048828125,2
124,False,Laptop,TDParse,0.001953125,0
125,True,Laptop,TDParse,0.0078125,0
126,False,Laptop,TDParse,0.03125,0
127,False,Laptop,TDParse,0.125,2
